ovr_rank,team,conference,record,ovr_rating,off_rating,off_rank,def_rating,def_rank,st_rating,st_rank,week
67,Boston College,ACC,5-5,-1.3,35.7,26,35.5,107,-1.5,113,11
68,BYU,Independent,5-4,-1.5,28.6,64,29.9,79,-0.2,73,11
69,Fresno State,MWC,4-5,-1.5,34.1,31,34.6,105,NA,94,11
70,Wyoming,MWC,6-3,-2,22.2,101,24.3,44,0.1,62,11
71,NC State,ACC,4-5,-2.1,23.4,94,26.8,55,1.2,29,11
72,Utah State,MWC,5-4,-2.4,26.2,82,29.3,73,0.7,42,11
73,California,Pac-12,5-4,-2.4,20.7,107,21.7,33,-1.5,110,11
74,Arizona,Pac-12,4-5,-2.7,35.8,25,37.2,115,-1.3,102,11
75,Stanford,Pac-12,4-5,-2.8,25.5,87,28.8,68,0.4,50,11
76,Ohio,MAC,4-5,-3,33,39,36.4,111,0.4,51,11
77,Arkansas State,Sun Belt,5-4,-3.2,32,46,36.4,110,1.2,32,11
78,Southern Mississippi,C-USA,6-3,-3.2,26.8,76,29.4,74,-0.6,82,11
79,Troy,Sun Belt,4-5,-3.2,33.9,33,36.1,108,-1.1,96,11
80,Maryland,Big Ten,3-7,-3.4,28.3,65,29,71,-2.7,128,11
81,Western Kentucky,C-USA,6-4,-3.5,20.9,106,24.2,42,-0.2,74,11
82,Colorado,Pac-12,4-6,-3.9,31.9,49,36.7,114,0.9,39,11
83,Marshall,C-USA,6-3,-4,25.7,85,30.3,81,0.6,46,11
84,Western Michigan,MAC,6-4,-4.2,31.9,47,34.3,100,-1.8,119,11
85,Syracuse,ACC,3-6,-4.2,22.9,97,28.9,69,1.8,15,11
86,Liberty,Independent,6-4,-4.7,29.5,62,34.5,103,0.3,56,11
87,North Texas,C-USA,4-6,-5,27.9,70,34.4,101,1.5,21,11
88,Hawai'i,MWC,6-4,-5.1,35.9,23,40,124,NA,93,11
89,Tulsa,AAC,3-7,-5.1,23.3,95,26.4,54,-2.1,123,11
90,Northwestern,Big Ten,1-8,-5.9,13.5,126,17.9,20,-1.6,115,11
91,South Florida,AAC,4-5,-6.1,22.3,99,26.2,52,-2.2,125,11
92,UAB,C-USA,6-3,-6.8,16.3,122,21.7,34,-1.3,104,11
93,Colorado State,MWC,4-5,-7.3,26.6,79,34.4,102,0.6,47,11
94,Kansas,Big 12,3-6,-7.3,28.2,67,34.1,97,-1.4,106,11
95,Georgia Southern,Sun Belt,5-4,-7.3,20.1,108,26.8,56,-0.6,80,11
96,West Virginia,Big 12,3-6,-7.4,25.6,86,31.9,89,-1.2,99,11
97,Central Michigan,MAC,6-4,-7.6,23.5,93,29.7,77,-1.4,107,11
98,Ball State,MAC,4-5,-7.7,25.4,88,31.6,87,-1.5,114,11
99,Georgia Tech,ACC,2-7,-8.3,19.4,110,25.5,49,-2.2,124,11
100,Florida International,C-USA,5-5,-8.4,22.2,102,29.9,78,-0.7,86,11
101,Buffalo,MAC,5-4,-9.3,19.1,111,25.6,51,-2.8,129,11
102,Arkansas,SEC,2-8,-9.6,23,96,32.9,91,0.3,54,11
103,Georgia State,Sun Belt,6-3,-10,31.6,53,39.9,123,-1.7,118,11
104,Charlotte,C-USA,5-5,-10.5,31,56,41.3,127,-0.1,71,11
105,Vanderbilt,SEC,2-7,-10.7,22.4,98,34.3,99,1.3,28,11
106,East Carolina,AAC,3-7,-10.8,25.1,90,36.2,109,0.2,60,11
107,Rutgers,Big Ten,2-7,-11.7,19.9,109,31.5,86,0,67,11
108,San Jose State,MWC,4-6,-11.8,27.9,69,39.8,121,0.1,63,11
109,Miami (OH),MAC,5-4,-12.4,18,116,31.1,85,0.7,43,11
110,Middle Tennessee,C-USA,3-6,-12.7,26.2,83,38.2,118,-0.6,85,11
111,Louisiana Monroe,Sun Belt,4-5,-12.8,29.6,60,40.6,125,-1.8,120,11
112,Toledo,MAC,6-3,-12.9,26.6,78,38,117,-1.6,116,11
113,Coastal Carolina,Sun Belt,4-5,-13.1,22.2,100,34.2,98,-1.2,98,11
114,Northern Illinois,MAC,3-6,-13.5,21.1,105,33.7,95,-0.9,91,11
115,Nevada,MWC,6-4,-13.6,16.8,121,30.7,84,0.3,57,11
116,Texas State,Sun Belt,3-6,-13.7,17,119,29.2,72,-1.5,111,11
117,Kent State,MAC,3-6,-13.9,22,103,37.4,116,1.5,22,11
118,Eastern Michigan,MAC,4-5,-15.1,26.2,81,40.8,126,-0.5,78,11
119,New Mexico,MWC,2-7,-18,18.9,113,38.7,120,1.8,13,11
120,UNLV,MWC,2-7,-19.1,18.2,115,36.5,112,-0.7,88,11
121,Old Dominion,C-USA,1-9,-23.3,10.2,129,33.4,94,-0.1,68,11
122,New Mexico State,Independent,0-9,-23.3,16.9,120,39.8,122,-0.4,77,11
123,Rice,C-USA,0-9,-24.1,11.1,128,34.5,104,-0.6,83,11
124,Connecticut,AAC,2-8,-24.2,15.3,123,38.2,119,-1.3,101,11
125,Bowling Green,MAC,3-6,-24.7,14.7,124,36.6,113,-2.7,127,11
126,South Alabama,Sun Belt,1-8,-24.9,12,127,34.1,96,-2.8,130,11
127,UT San Antonio,C-USA,4-5,-25.3,18.9,112,42.3,128,-1.9,121,11
128,UTEP,C-USA,1-8,-26.4,18.3,114,44.6,129,-0.1,69,11
129,Akron,MAC,0-9,-29.6,7.9,130,35.1,106,-2.4,126,11
130,UMass,Independent,1-9,-32.9,17.6,118,50.6,130,0.1,65,11
1,Ohio State,Big Ten,10-0,37.2,44.6,4,9.1,1,1.6,17,12
2,Alabama,SEC,9-1,33,47.5,3,14.2,6,-0.3,77,12
3,LSU,SEC,10-0,30,48.1,2,20.3,29,2.3,7,12
4,Clemson,ACC,11-0,29,41.5,6,11.4,3,-1.1,97,12
5,Georgia,SEC,9-1,28.5,35.6,22,9.7,2,2.6,2,12
6,Oklahoma,Big 12,9-1,26.1,49,1,24.2,43,1.2,30,12
7,Penn State,Big Ten,9-1,25,38.4,11,15.5,12,2.1,9,12
8,Utah,Pac-12,9-1,23.8,38.6,10,14.7,9,-0.1,68,12
9,Florida,SEC,9-2,23.2,36.2,20,14.6,7,1.6,21,12
10,Michigan,Big Ten,8-2,22.4,33.8,34,12,5,0.5,49,12
11,Auburn,SEC,7-3,22.2,32.1,46,11.6,4,1.7,14,12
12,Washington,Pac-12,6-4,21.1,37.5,15,19,23,2.6,3,12
13,Wisconsin,Big Ten,8-2,20.8,36.7,18,14.7,8,-1.2,100,12
14,Memphis,AAC,9-1,19.6,40.3,7,23.3,37,2.7,1,12
15,Oregon,Pac-12,9-1,19.5,36.6,19,15.9,15,-1.2,101,12
16,Minnesota,Big Ten,9-1,19.2,40.1,8,19.7,26,-1.2,98,12
17,Texas A&M,SEC,7-3,18.5,36.9,17,18.6,22,0.3,57,12
18,UCF,AAC,7-3,18.1,38,14,19.8,27,-0.2,72,12
19,Notre Dame,Independent,8-2,17.5,35.2,26,18.2,21,0.6,46,12
20,Indiana,Big Ten,7-3,17.5,38.1,13,22.3,34,1.8,13,12
21,Baylor,Big 12,9-1,17.3,35.5,25,17.5,19,-0.7,87,12
22,Iowa State,Big 12,6-4,16.3,33.9,32,17.5,18,-0.2,75,12
23,Iowa,Big Ten,7-3,16.1,30,56,15.4,11,1.5,23,12
24,USC,Pac-12,7-4,14.4,38.3,12,25.3,50,1.4,27,12
25,Miami,ACC,6-4,13.4,29.8,57,15.8,14,-0.5,81,12
26,Washington State,Pac-12,5-5,13.2,43.5,5,32.6,90,2.3,6,12
27,Oklahoma State,Big 12,7-3,12.4,37.4,16,25,48,0,63,12
28,Texas,Big 12,6-4,10.8,38.9,9,29.7,76,1.7,15,12
29,Cincinnati,AAC,9-1,10.6,30.8,52,21.8,33,1.5,22,12
30,Missouri,SEC,5-5,10.4,25.6,87,15.7,13,0.5,51,12
31,TCU,Big 12,5-5,9.9,30.5,54,21.6,32,1,34,12
32,Air Force,MWC,8-2,9.7,34.8,27,27.4,64,2.3,5,12
33,Boise State,MWC,9-1,9.2,33.2,39,24.6,46,0.5,50,12
34,Navy,AAC,7-2,8.9,34.2,31,26.9,56,1.6,20,12
35,Appalachian State,Sun Belt,9-1,8.5,32.3,44,24.2,42,0.4,52,12
36,Tulane,AAC,6-4,8.5,35.5,24,27.7,66,0.6,42,12
37,Lousisiana,Sun Belt,8-2,8.2,34.7,28,27.1,58,0.6,43,12
38,Tennessee,SEC,5-5,7.4,26.4,82,19.6,24,0.6,44,12
39,Virginia,ACC,7-3,7.3,26.8,80,20.4,30,0.9,36,12
40,Michigan State,Big Ten,4-6,7.1,25.8,84,17.3,17,-1.4,111,12
41,South Carolina,SEC,4-7,6.9,24.3,94,19.6,25,2.2,8,12
42,Arizona State,Pac-12,5-5,6.7,29.4,61,24.4,45,1.7,16,12
43,Kansas State,Big 12,6-4,6.4,29.8,58,25.2,49,1.8,12,12
44,Virginia Tech,ACC,7-3,6.3,28.6,67,23.2,35,0.8,39,12
45,SMU,AAC,9-1,6,35.6,23,28.3,69,-1.3,105,12
46,Temple,AAC,7-3,5.8,25,90,20.2,28,1,33,12
47,Texas Tech,Big 12,4-6,4.8,33.8,35,30.6,83,1.6,19,12
48,Florida State,ACC,6-5,4.5,32.8,40,27.4,62,-0.9,93,12
49,Kentucky,SEC,5-5,4.2,26.6,81,23.2,36,0.9,38,12
50,North Carolina,ACC,4-6,3.8,32.7,41,28.5,71,-0.5,80,12
51,Illinois,Big Ten,6-4,3.3,27.7,71,26.8,55,2.5,4,12
52,Pittsburgh,ACC,7-3,3.3,19.6,112,15.4,10,-0.9,92,12
53,Ole Miss,SEC,4-7,3.2,29.2,63,24.3,44,-1.7,118,12
54,Mississippi State,SEC,4-6,3,32.6,42,28,68,-1.5,114,12
55,Nebraska,Big Ten,4-6,2.7,32.2,45,27.4,61,-2.2,124,12
56,Florida Atlantic,C-USA,7-3,2.7,29.1,65,27.1,59,0.7,41,12
57,Wake Forest,ACC,7-3,2.1,30.5,55,29.4,75,1,35,12
58,Louisville,ACC,6-4,0.8,33.3,38,32,87,-0.5,82,12
59,San Diego State,MWC,8-2,0.4,14.5,126,16.1,16,2,10,12
60,BYU,Independent,6-4,0.4,28.9,66,28.5,70,0,65,12
61,Purdue,Big Ten,4-6,0.4,29.5,60,29.3,74,0.2,61,12
62,Army,Independent,5-6,0.1,28.1,70,27.4,63,-0.5,83,12
63,UCLA,Pac-12,4-6,-0.7,29.7,59,30.3,81,-0.1,67,12
64,Boston College,ACC,5-5,-0.9,35.8,21,35.2,107,-1.5,113,12
65,Syracuse,ACC,4-6,-1.3,24.3,93,27.1,60,1.5,25,12
66,Oregon State,Pac-12,5-5,-1.3,33.7,36,33.4,95,-1.7,117,12
67,Ohio,MAC,4-6,-1.5,33.9,33,36.2,110,0.8,40,12
68,Utah State,MWC,6-4,-2,25.2,89,27.7,65,0.6,47,12
69,Houston,AAC,3-7,-2,31.2,50,34.7,101,1.5,24,12
70,Duke,ACC,4-6,-2.1,20.3,108,23.9,39,1.4,26,12
71,Fresno State,MWC,4-6,-2.1,31.6,48,32.8,92,-0.9,94,12
72,Troy,Sun Belt,5-5,-2.1,34.3,30,35.1,105,-1.3,108,12
73,Marshall,C-USA,7-3,-2.2,25.3,88,27.9,67,0.4,53,12
74,NC State,ACC,4-6,-2.2,23.1,95,26.5,52,1.2,32,12
75,Wyoming,MWC,6-4,-2.4,21.1,106,23.5,38,0,66,12
76,Stanford,Pac-12,4-6,-2.5,27.2,73,29.9,79,0.2,60,12
77,Southern Mississippi,C-USA,7-3,-2.5,26.8,78,29.3,73,-0.1,69,12
78,Arkansas State,Sun Belt,6-4,-2.6,31,51,34.8,103,1.2,31,12
79,Louisiana Tech,C-USA,8-2,-3,27.2,74,29.9,78,-0.3,78,12
80,Maryland,Big Ten,3-7,-3.2,28.4,68,28.8,72,-2.8,127,12
81,Western Kentucky,C-USA,6-4,-3.2,21,107,24,40,-0.2,76,12
82,California,Pac-12,5-5,-3.7,21.9,102,24.1,41,-1.5,112,12
83,Arizona,Pac-12,4-6,-3.9,33.4,37,36.2,111,-1.2,99,12
84,Northwestern,Big Ten,2-8,-4,15,123,17.7,20,-1.3,109,12
85,Colorado,Pac-12,4-6,-4.2,31.6,47,36.7,114,0.9,37,12
86,Hawai'i,MWC,7-4,-4.3,34.3,29,37.2,116,-1.4,110,12
87,UAB,C-USA,7-3,-4.3,17.9,117,21.4,31,-0.8,88,12
88,Western Michigan,MAC,7-4,-4.5,32.5,43,35,104,-2,121,12
89,Liberty,Independent,6-4,-4.8,29.4,62,34.5,98,0.3,54,12
90,North Texas,C-USA,4-6,-5.3,27.6,72,34.5,99,1.6,18,12
91,South Florida,AAC,4-6,-5.8,22,100,24.9,47,-2.9,128,12
92,Tulsa,AAC,3-7,-5.9,22.9,97,26.7,54,-2.1,123,12
93,Georgia Southern,Sun Belt,6-4,-6.2,21.2,105,27,57,-0.4,79,12
94,West Virginia,Big 12,4-6,-6.2,25.6,86,30.9,84,-0.9,95,12
95,Colorado State,MWC,4-6,-7,25.7,85,33.2,93,0.6,45,12
96,Ball State,MAC,4-6,-7,27,76,32.7,91,-1.3,104,12
97,Central Michigan,MAC,7-4,-7.3,25,91,31,85,-1.2,102,12
98,Buffalo,MAC,5-5,-8.1,19.7,111,25.3,51,-2.5,126,12
99,Florida International,C-USA,5-5,-8.8,21.9,101,30,80,-0.6,86,12
100,Arkansas,SEC,2-8,-9.2,23.1,96,32.6,89,0.3,55,12
101,Miami (OH),MAC,6-4,-9.4,19.9,110,29.9,77,0.5,48,12
102,Kansas,Big 12,3-7,-9.9,26.4,83,34.7,102,-1.6,116,12
103,Georgia Tech,ACC,2-8,-10.2,18.5,114,26.7,53,-2.1,122,12
104,Charlotte,C-USA,5-5,-10.6,30.8,53,41.2,127,-0.2,74,12
105,San Jose State,MWC,4-6,-11.1,28.2,69,39.3,124,0.1,62,12
106,Georgia State,Sun Belt,6-4,-11.2,31.3,49,40.8,125,-1.7,119,12
107,East Carolina,AAC,3-7,-11.6,24.7,92,36.5,113,0.2,58,12
108,Vanderbilt,SEC,2-8,-11.8,22,99,35.1,106,1.4,28,12
109,Toledo,MAC,6-4,-11.9,26.8,79,37.4,117,-1.3,103,12
110,Rutgers,Big Ten,2-8,-12.2,20.3,109,32.5,88,0,64,12
111,Eastern Michigan,MAC,5-5,-12.3,27.2,75,38.9,123,-0.6,84,12
112,Northern Illinois,MAC,4-6,-12.7,22.2,98,34.1,96,-0.8,89,12
113,Middle Tennessee,C-USA,3-7,-12.9,26.8,77,38.8,122,NA,96,12
114,Nevada,MWC,6-4,-13.4,16.9,121,30.5,82,0.3,56,12
115,Kent State,MAC,4-6,-13.4,21.6,103,36.9,115,1.9,11,12
116,Louisiana Monroe,Sun Belt,4-6,-13.5,29.1,64,40.9,126,-1.8,120,12
117,Coastal Carolina,Sun Belt,4-6,-13.8,21.3,104,34.1,97,-0.9,91,12
118,Texas State,Sun Belt,3-7,-14.5,17.9,116,31.5,86,-0.9,90,12
119,New Mexico,MWC,2-8,-19.2,18.1,115,38.5,120,1.3,29,12
120,UNLV,MWC,2-8,-19.8,17.3,119,35.7,109,-1.3,107,12
121,New Mexico State,Independent,1-9,-20.9,17.6,118,38.4,119,-0.2,73,12
122,South Alabama,Sun Belt,1-9,-22.8,14.8,125,34.5,100,-3.1,130,12
123,Rice,C-USA,1-9,-23.1,13.4,128,36.4,112,-0.1,71,12
124,Old Dominion,C-USA,1-9,-23.2,10.2,129,33.3,94,-0.1,70,12
125,UT San Antonio,C-USA,4-6,-24.8,18.5,113,41.7,128,-1.6,115,12
126,Connecticut,AAC,2-8,-25,14.8,124,38.6,121,-1.3,106,12
127,Bowling Green,MAC,3-7,-26.6,13.9,127,37.6,118,-2.9,129,12
128,UTEP,C-USA,1-9,-27.3,17,120,44.5,129,0.2,59,12
129,Akron,MAC,0-10,-30.2,7.6,130,35.4,108,-2.5,125,12
130,UMass,Independent,1-10,-34,15.9,122,49.3,130,-0.6,85,12
1,Ohio State,Big Ten,11-0,36.2,42.8,5,8.3,1,1.7,18,13
2,Alabama,SEC,10-1,32.6,47,3,14.1,6,-0.3,74,13
3,LSU,SEC,11-0,29.9,47.9,2,20.1,29,2.2,8,13
4,Clemson,ACC,11-0,28.8,41.4,6,11.4,3,-1.2,103,13
5,Georgia,SEC,10-1,27.7,34.1,34,9.3,2,2.9,1,13
6,Oklahoma,Big 12,10-1,25.7,48.4,1,24,41,1.3,28,13
7,Penn State,Big Ten,9-2,24.1,36.8,16,14.9,10,2.2,7,13
8,Utah,Pac-12,10-1,23.9,38.4,10,14.3,7,-0.3,72,13
9,Florida,SEC,9-2,22.8,35.9,19,14.7,9,1.6,19,13
10,Michigan,Big Ten,9-2,22.7,35,26,12.7,5,0.3,52,13
11,Auburn,SEC,8-3,22.2,32.4,46,11.4,4,1.3,30,13
12,Wisconsin,Big Ten,9-2,21,37.7,11,16.1,14,-0.6,87,13
13,Memphis,AAC,10-1,20.4,40.3,7,22.5,35,2.6,3,13
14,Minnesota,Big Ten,10-1,19.7,40.1,8,19.5,25,-0.9,93,13
15,Notre Dame,Independent,9-2,18.4,35.4,22,17.8,20,0.8,39,13
16,Texas A&M,SEC,7-4,18,35,23,17.5,18,0.5,45,13
17,Washington,Pac-12,6-5,18,35,24,19.7,28,2.6,2,13
18,UCF,AAC,8-3,17.9,37.2,13,19.2,24,-0.1,66,13
19,Baylor,Big 12,10-1,17.8,35.6,20,17.5,17,-0.3,75,13
20,Oregon,Pac-12,9-2,17.7,37,14,17.8,19,-1.5,111,13
21,Iowa,Big Ten,8-3,15.7,29,63,14.7,8,1.4,24,13
22,Indiana,Big Ten,7-4,14.5,36.9,15,23.9,40,1.5,22,13
23,USC,Pac-12,8-4,14.4,39.1,9,26,50,1.3,27,13
24,Iowa State,Big 12,7-4,14.3,33,40,18.3,21,-0.4,77,13
25,Miami,ACC,6-5,13.4,30,58,16,13,-0.6,85,13
26,Washington State,Pac-12,6-5,12.7,44.1,4,33.7,95,2.3,4,13
27,Oklahoma State,Big 12,8-3,11.1,36.1,17,25.2,47,0.2,56,13
28,Boise State,MWC,10-1,10.6,34.4,33,24.5,44,0.7,43,13
29,Lousisiana,Sun Belt,9-2,9.8,35.5,21,27,58,1.3,31,13
30,Air Force,MWC,9-2,9.6,35.9,18,28.6,72,2.3,5,13
31,Texas,Big 12,6-5,9.4,37.2,12,29.7,77,1.9,12,13
32,Appalachian State,Sun Belt,10-1,9.3,32.6,44,22.8,37,-0.5,82,13
33,Cincinnati,AAC,10-1,9,28.5,69,20.8,31,1.4,25,13
34,Navy,AAC,8-2,8.8,33.9,35,26.3,54,1.2,33,13
35,TCU,Big 12,5-6,8.7,30.8,51,23.2,39,1,35,13
36,Missouri,SEC,5-6,8.6,25.3,84,17.3,15,0.6,44,13
37,Virginia,ACC,8-3,8.6,28.5,68,21,32,1.1,34,13
38,Tennessee,SEC,6-5,8.1,26.7,79,18.8,23,0.1,58,13
39,Tulane,AAC,6-5,7.7,34.6,31,26.9,57,0,62,13
40,Michigan State,Big Ten,5-6,7.6,25.1,86,16,12,-1.5,114,13
41,Arizona State,Pac-12,6-5,7.5,30.5,53,24.8,46,1.8,15,13
42,Virginia Tech,ACC,8-3,7.1,28.2,70,21.8,33,0.8,40,13
43,South Carolina,SEC,4-7,6.8,24.2,91,19.6,26,2.2,6,13
44,Temple,AAC,7-4,5.9,23.8,95,18.4,22,0.5,46,13
45,North Carolina,ACC,5-6,5.9,33.4,37,27.2,61,-0.4,76,13
46,Texas Tech,Big 12,4-7,5.5,33.4,36,29.6,76,1.6,20,13
47,Kentucky,SEC,6-5,5.3,26.8,77,22.3,34,0.8,41,13
48,Kansas State,Big 12,7-4,5.3,29.2,61,25.8,48,1.9,10,13
49,Mississippi State,SEC,5-6,5,33.1,39,27.1,59,NA,96,13
50,SMU,AAC,9-2,5,34.8,30,28.3,70,-1.5,113,13
51,Florida State,ACC,6-5,4.3,32.7,42,27.3,64,NA,97,13
52,Nebraska,Big Ten,5-6,4.2,33,41,26.6,55,-2.2,123,13
53,Florida Atlantic,C-USA,8-3,3.3,29.7,59,26.8,56,0.4,49,13
54,Wake Forest,ACC,8-3,3.1,30,57,28,67,1,36,13
55,Ole Miss,SEC,4-7,2.9,29.1,62,24.3,43,-1.8,119,13
56,Illinois,Big Ten,6-5,2.6,26.4,80,25.8,49,2,9,13
57,Louisville,ACC,7-4,1.9,34.9,29,32.6,89,-0.4,80,13
58,Pittsburgh,ACC,7-4,1.4,18.1,118,15.6,11,-1.1,99,13
59,BYU,Independent,7-4,1.3,29.6,60,27.5,65,-0.9,92,13
60,Army,Independent,5-6,0.3,28.1,71,27.3,62,-0.6,86,13
61,Ohio,MAC,5-6,0.1,35,25,36.1,110,1.2,32,13
62,Purdue,Big Ten,4-7,-0.1,30.3,54,30.5,79,0.2,57,13
63,San Diego State,MWC,8-3,-0.6,14.8,126,17.3,16,1.9,11,13
64,Oregon State,Pac-12,5-6,-1.5,35,28,34.9,107,-1.6,116,13
65,Arkansas State,Sun Belt,7-4,-1.7,31.3,49,33.9,96,0.9,37,13
66,Wyoming,MWC,7-4,-1.8,20.3,108,22.5,36,0.4,51,13
67,Colorado,Pac-12,5-6,-1.9,31.3,48,34.1,98,0.9,38,13
68,UCLA,Pac-12,4-7,-2,30.1,55,31.9,86,-0.2,71,13
69,Western Kentucky,C-USA,7-4,-2.3,21.2,107,23,38,-0.5,83,13
70,UAB,C-USA,8-3,-2.5,17.6,121,19.7,27,-0.4,78,13
71,Marshall,C-USA,7-4,-2.8,24,92,27.1,60,0.4,48,13
72,Syracuse,ACC,4-7,-2.8,24.8,89,29.5,75,1.8,14,13
73,Duke,ACC,4-7,-2.8,20.1,109,24.6,45,1.7,17,13
74,Louisiana Tech,C-USA,8-3,-2.8,25.6,83,28.2,69,-0.2,70,13
75,Troy,Sun Belt,5-6,-2.9,33.1,38,34.7,102,-1.4,108,13
76,Houston,AAC,4-7,-2.9,28.9,66,33.5,93,1.7,16,13
77,Boston College,ACC,5-6,-3,35,27,36.2,111,-1.8,118,13
78,NC State,ACC,4-7,-3.1,23.5,96,27.9,66,1.3,29,13
79,Stanford,Pac-12,4-7,-3.1,27,76,30.7,81,0.7,42,13
80,Fresno State,MWC,4-7,-3.1,31.9,47,34,97,NA,98,13
81,Southern Mississippi,C-USA,7-4,-3.3,25.6,82,28.5,71,-0.4,81,13
82,Utah State,MWC,6-5,-3.4,25.2,85,29.1,74,0.5,47,13
83,Hawai'i,MWC,8-4,-3.5,34.4,32,36.5,112,-1.5,110,13
84,California,Pac-12,6-5,-3.9,22.2,102,24.3,42,-1.8,120,13
85,Western Michigan,MAC,7-4,-4.4,32.5,45,34.9,104,-2,122,13
86,Tulsa,AAC,3-8,-5.3,23,97,26.1,52,-2.2,124,13
87,Arizona,Pac-12,4-7,-5.6,32.6,43,37,115,-1.2,106,13
88,Maryland,Big Ten,3-8,-5.7,27.8,73,30.8,82,-2.6,127,13
89,West Virginia,Big 12,4-7,-5.7,25.1,87,29.7,78,-1.1,100,13
90,North Texas,C-USA,4-7,-5.9,26,81,33.2,90,1.4,26,13
91,Northwestern,Big Ten,2-9,-5.9,16,122,20.4,30,-1.5,112,13
92,Liberty,Independent,6-5,-6.1,28.9,64,34.9,106,-0.1,68,13
93,Georgia Southern,Sun Belt,6-5,-6.6,21.8,105,28.2,68,-0.2,69,13
94,Buffalo,MAC,6-5,-7,21.7,106,26.2,53,-2.5,126,13
95,South Florida,AAC,4-7,-7,21.8,104,26,51,-2.8,128,13
96,Central Michigan,MAC,7-4,-7.2,25,88,30.9,83,-1.3,107,13
97,Florida International,C-USA,6-5,-7.5,22.8,99,30.5,80,0.2,55,13
98,Colorado State,MWC,4-7,-7.7,23.8,93,31.7,85,0.2,54,13
99,Ball State,MAC,4-7,-7.8,27.9,72,34.5,101,-1.2,102,13
100,Charlotte,C-USA,6-5,-8.7,30,56,38.1,120,-0.7,90,13
101,Kansas,Big 12,3-8,-8.8,27.3,75,34.9,105,-1.2,105,13
102,Vanderbilt,SEC,3-8,-8.8,23,98,33.3,91,1.5,23,13
103,Georgia Tech,ACC,3-8,-9.3,19.9,110,27.3,63,-1.9,121,13
104,Georgia State,Sun Belt,7-4,-9.7,31.1,50,39.2,122,-1.6,117,13
105,Eastern Michigan,MAC,6-5,-9.8,28.6,67,37.8,119,-0.7,89,13
106,Miami (OH),MAC,7-4,-10,18.6,115,29,73,0.4,50,13
107,San Jose State,MWC,4-7,-10.4,28.9,65,39.3,124,0,64,13
108,Arkansas,SEC,2-9,-10.4,22.8,100,33.5,92,0.2,53,13
109,Middle Tennessee,C-USA,4-7,-11,27.5,74,37.3,116,-1.2,104,13
110,Toledo,MAC,6-5,-11.7,26.8,78,37.5,117,NA,94,13
111,Kent State,MAC,5-6,-11.8,23.8,94,37.5,118,1.9,13,13
112,Louisiana Monroe,Sun Belt,5-6,-12,30.7,52,41.2,127,-1.6,115,13
113,East Carolina,AAC,4-7,-12.1,24.8,90,36.9,114,0.1,59,13
114,Nevada,MWC,7-4,-12.3,18.8,114,31.1,84,0.1,60,13
115,Coastal Carolina,Sun Belt,4-7,-13.5,22.8,101,35.6,109,-0.6,88,13
116,Northern Illinois,MAC,4-7,-13.8,22.2,103,35.3,108,-0.8,91,13
117,Rutgers,Big Ten,2-9,-14,18.1,119,32,87,0,65,13
118,Texas State,Sun Belt,3-8,-14.7,17.6,120,32.1,88,-0.3,73,13
119,New Mexico,MWC,2-9,-18.5,19.9,111,40,126,1.6,21,13
120,UNLV,MWC,3-8,-19.5,18.5,116,36.9,113,-1.2,101,13
121,New Mexico State,Independent,2-9,-20.7,18.9,113,39.5,125,-0.1,67,13
122,Rice,C-USA,2-9,-20.9,13.4,128,34.2,99,0,63,13
123,South Alabama,Sun Belt,1-10,-22.8,14.3,127,34.3,100,-2.9,129,13
124,Old Dominion,C-USA,1-10,-23.5,10.5,129,33.6,94,-0.4,79,13
125,UT San Antonio,C-USA,4-7,-24,19.3,112,42.3,128,NA,95,13
126,Connecticut,AAC,2-9,-24.2,15.6,124,38.5,121,-1.4,109,13
127,UTEP,C-USA,1-10,-26.1,18.4,117,44.5,129,0,61,13
128,Bowling Green,MAC,3-8,-27.5,14.8,125,39.2,123,-3.1,130,13
129,Akron,MAC,0-11,-28.8,8.2,130,34.7,103,-2.3,125,13
130,UMass,Independent,1-11,-33.6,15.9,123,49,130,-0.5,84,13
1,Ohio State,Big Ten,12-0,35.8,44.1,4,10,2,1.7,18,14
2,Alabama,SEC,10-2,32.3,46.9,3,14.3,7,-0.3,74,14
3,LSU,SEC,12-0,31.1,47.8,2,18.9,22,2.1,8,14
4,Clemson,ACC,12-0,28.8,41.2,6,11.2,3,-1.2,103,14
5,Georgia,SEC,11-1,28.4,34.7,29,9.2,1,2.9,1,14
6,Oklahoma,Big 12,11-1,25.7,48,1,23.6,41,1.3,28,14
7,Utah,Pac-12,11-1,24.2,38.6,10,14.2,6,-0.3,72,14
8,Florida,SEC,10-2,23.7,36.6,15,14.5,8,1.6,19,14
9,Penn State,Big Ten,10-2,23.4,36,18,14.8,9,2.2,7,14
10,Wisconsin,Big Ten,10-2,21.7,38.6,11,16.3,14,-0.6,87,14
11,Auburn,SEC,9-3,21.6,33.3,38,13,4,1.3,30,14
12,Michigan,Big Ten,9-3,21.3,35.8,20,14.8,10,0.3,52,14
13,Memphis,AAC,11-1,20.6,40.1,7,22.1,33,2.5,3,14
14,Baylor,Big 12,11-1,19.3,36.2,17,16.6,15,-0.3,75,14
15,UCF,AAC,9-3,18.4,37,13,18.5,20,-0.1,66,14
16,Washington,Pac-12,7-5,18.1,35.6,22,20.2,28,2.6,2,14
17,Minnesota,Big Ten,10-2,17.3,39.3,8,21.1,30,-0.9,93,14
